
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0,,Surface,8,Image 1,1,0,
0,,Surface,8,Image 1,1,1,
0,,Surface,8,Image 1,1,2,
510.913,,Surface,8,Image 1,1,3,
0,,Surface,8,Image 1,1,4,
0,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
0,,Surface,8,Image 1,1,7,
0,,Surface,8,Image 1,1,8,
207.429,,Surface,8,Image 1,1,9,
4.11805,,Surface,8,Image 1,1,10,
606.762,,Surface,8,Image 1,1,11,
25.6831,,Surface,8,Image 1,1,12,
151.239,,Surface,8,Image 1,1,13,
